task,time
start v1 0,1584378637.0404081
click,1584378645.6147957
click,1584378648.4115658
stop v1 0,1584378653.3030393
start v2 0,1584378683.3118541
click,1584378692.9805803
click,1584378694.1662855
click,1584378695.1109865
click,1584378696.0529115
click,1584378696.9323382
click,1584378697.8285892
stop v2 0,1584378701.0219235
start v1 1,1584378731.0564651
click,1584378739.783064
click,1584378742.3779821
stop v1 1,1584378746.876323
start v2 1,1584378776.9109235
click,1584378786.6117887
click,1584378787.8324842
click,1584378788.7930083
click,1584378789.7277546
click,1584378790.6154208
click,1584378791.5405157
stop v2 1,1584378794.6153996
start v1 2,1584378824.649813
click,1584378833.814015
click,1584378840.6477547
stop v1 2,1584378845.57621
start v2 2,1584378875.6105134
click,1584378884.9177184
click,1584378886.0956933
click,1584378887.0316496
click,1584378887.9894333
click,1584378888.8934703
click,1584378889.7960098
stop v2 2,1584378893.2504296
start v1 3,1584378923.2682645
click,1584378932.969462
click,1584378935.650711
click,1584378937.8666801
click,1584378940.4313226
stop v1 3,1584378944.7162073
start v2 3,1584378974.7506557
click,1584378984.4319468
click,1584378985.710525
click,1584378986.7731304
click,1584378987.7361193
stop v2 3,1584378994.4759254
